Part No,QTY ON HAND,Avg Daily Usage,Lead Time,Supplier
MFG-1001-BRKT,50,10,30,Acme Industrial
MFG-1002-SEAL,200,10,30,Acme Industrial
MFG-1003-VALVE,100,10,7,Precision Parts Co
MFG-1004-HOSE,600,10,7,Precision Parts Co
MFG-1005-GASKET,700,10,7,Precision Parts Co
MFG-1006-FITTING,2000,10,7,Global Fasteners
MFG-1007-CAP,100,0,7,Global Fasteners
MFG-1008-BOLT,,10,7,Global Fasteners
MFG-1009-BEARING,0,10,30,Acme Industrial
MFG-1010-SHAFT,45,5,30,Acme Industrial
MFG-1011-SPRING,500,5,30,Sterling Supply
MFG-1012-WASHER,300,5,7,Sterling Supply
MFG-1013-CLAMP,350,5,7,Sterling Supply
MFG-1014-BUSHING,80,8,14,Precision Parts Co
MFG-1015-PULLEY,250,5,14,Precision Parts Co
MFG-1016-GEAR,N/A,5,7,Global Fasteners
MFG-1017-AXLE,1500,3,14,Sterling Supply
MFG-1018-PLATE,30,2,7,Acme Industrial
MFG-1019-RING,"1,500",3,14,Sterling Supply
MFG-1020-PIN,$80,4,7,Precision Parts Co
MFG-1021-CLIP,100,5,0,Global Fasteners
MFG-1022-TUBE,100,"1,5",14,Acme Industrial
MFG-1023-SPROCKET,"150 units",5,30,Sterling Supply
MFG-1001-BRKT,80,10,30,Acme Industrial
,,,,
